name,parent,region,industry,marketcap201510,marketcap201605,marketcap201610
World,,,,,,
HK,World,,,,,
UK,World,,,,,
Macau,World,,,,,
Mainland,World,,,,,
Mainland.Commerce & Industry,Mainland,,Commerce & Industry,,,
Mainland.Utilities,Mainland,,Utilities,,,
Mainland.Properties,Mainland,,Properties,,,
Mainland.Finance,Mainland,,Finance,,,
Macau.Commerce & Industry,Macau,,Commerce & Industry,,,
Macau.Utilities,Macau,,Utilities,,,
Macau.Properties,Macau,,Properties,,,
Macau.Finance,Macau,,Finance,,,
HK.Commerce & Industry,HK,,Commerce & Industry,,,
HK.Utilities,HK,,Utilities,,,
HK.Properties,HK,,Properties,,,
HK.Finance,HK,,Finance,,,
UK.Commerce & Industry,UK,,Commerce & Industry,,,
UK.Utilities,UK,,Utilities,,,
UK.Properties,UK,,Properties,,,
UK.Finance,UK,,Finance,,,
CKH Holdings,HK.Commerce & Industry,HK,Commerce & Industry,411055.76,348142.99,370336.14
CLP Holdings,HK.Utilities,HK,Utilities,170535.41,185188.83,199336.95
HK & China Gas,HK.Utilities,HK,Utilities,181984.89,,193299.04
Wharf Holdings,HK.Properties,HK,Properties,140488.11,127454.7,176755.53
HSBC Holdings,UK.Finance,UK,Finance,,1014403.4,1170837.43
Power Assets,HK.Utilities,HK,Utilities,165085.14,160816.61,155694.38
HK Land Hldgs,HK.Commerce & Industry,HK,Commerce & Industry,1336.69,1030.41,1281.03
PCCW,HK.Commerce & Industry,HK,Commerce & Industry,32009.67,38640.25,35664.73
CWHKT,HK.Commerce & Industry,HK,Commerce & Industry,38140.95,29551.03,40420.38
Hang Lung Group,HK.Properties,HK,Properties,272628.79,263643.1,267849.18
Hang Seng Bank,HK.Finance,HK,Finance,164179.27,,167138.8
Henderson Land,HK.Properties,HK,Properties,,,
Hutchison,HK.Properties,HK,Properties,36546.38,,37451.68
Hysan Dev,HK.Properties,HK,Properties,978.13,1082.93,2488.53
Jar Matheson,HK.Commerce & Industry,HK,Commerce & Industry,298896.01,264607.42,335287.71
SHK Ppt,HK.Properties,HK,Properties,74765.03,68908.7,90844.59
New World Dev,HK.Properties,HK,Properties,2062.21,1750.48,1870.38
Oriental Press,HK.Commerce & Industry,HK,Commerce & Industry,81468.54,75856.27,73004.87
Swire Pacific A,UK.Commerce & Industry,UK,Commerce & Industry,73654.54,71114.73,97462.1
Wheelock,HK.Properties,HK,Properties,76718.97,76872.35,84460.67
Bank of E Asia,HK.Finance,HK,Finance,113488.6,111326.52,136030.42
Galaxy Ent,HK.Commerce & Industry,HK,Commerce & Industry,16982.96,21201.95,23334.74
Great Eagle Hldgs,HK.Properties,HK,Properties,10353.72,8465.94,9197.76
HK Aircraft,HK.Commerce & Industry,HK,Commerce & Industry,13609.16,12791.38,13741.31
HK & S Hotels,HK.Commerce & Industry,HK,Commerce & Industry,24449.81,21702.49,23659.62
Hopewell Hldgs,HK.Properties,HK,Properties,8456.25,8064.72,9653.91
Kln Motor Bus,HK.Commerce & Industry,HK,Commerce & Industry,206093.34,216688.96,253578.18
MTR Corporation,HK.Commerce & Industry,HK,Commerce & Industry,25489.77,31754.81,30537.6
Shangri-La Asia,HK.Commerce & Industry,HK,Commerce & Industry,7527.13,8107.58,9055.29
Miramar,HK.Commerce & Industry,HK,Commerce & Industry,73131.57,73374.03,81368.93
Sino Land,HK.Properties,HK,Properties,1980.76,1950.29,1980.76
Henderson Inv,HK.Properties,HK,Properties,1203.84,1040.82,1479.72
Winsor Ind,HK.Commerce & Industry,HK,Commerce & Industry,85536.28,66738.09,76998.5
Hang Lung Ppt,HK.Properties,HK,Properties,51178.96,51340.4,47384.93
Kunlun Energy,Mainland.Commerce & Industry,Mainland,Commerce & Industry,22665.55,21806.33,25173.54
First Pacific,HK.Commerce & Industry,HK,Commerce & Industry,66901.76,57693.05,52577.34
China Mer Port,Mainland.Commerce & Industry,Mainland,Commerce & Industry,83959.56,70055.15,
Want Want China,Mainland.Commerce & Industry,Mainland,Commerce & Industry,25051.42,16662.89,16487.12
Johnson Elec H,HK.Commerce & Industry,HK,Commerce & Industry,1816.09,1818.52,
Lai Sun Int'l,HK.Commerce & Industry,HK,Commerce & Industry,,,
Denway Motors,Mainland.Commerce & Industry,Mainland,Commerce & Industry,4305.8,2397.04,2485.82
Jar Strategic,HK.Commerce & Industry,HK,Commerce & Industry,,663.98,1086.52
Dao Heng Bank,HK.Finance,HK,Finance,9431.64,7362.77,7971.26
