symbol,reportingDate,returnOnAssets,returnOnEquity,freeCashFlowToAssets,freeCashFlowToEquity,operatingProfitMargin,netProfitMargin,payoutRatio
688,1994-01-31,,,,,,,
688,1994-02-28,,,,,,,
688,1994-03-31,,,,,,,
688,1994-04-29,,,,,,,
688,1994-05-31,,,,,,,
688,1994-06-30,,,,,,,
688,1994-07-29,,,,,,,
688,1994-08-31,,,,,,,
688,1994-09-30,,,,,,,
688,1994-10-31,,,,,,,
688,1994-11-30,,,,,,,
688,1994-12-30,,,,,,,
688,1995-01-30,,,,,,,
688,1995-02-28,,,,,,,
688,1995-03-31,,,,,,,
688,1995-04-28,,,,,,,
688,1995-05-31,,,,,,,
688,1995-06-30,,,,,,,
688,1995-07-31,,,,,,,
688,1995-08-31,,,,,,,
688,1995-09-29,,,,,,,
688,1995-10-31,,,,,,,
688,1995-11-30,,,,,,,
688,1995-12-29,,,,,,,
688,1996-01-31,,,,,,,
688,1996-02-29,,,,,,,
688,1996-03-29,,,,,,,
688,1996-04-30,,,,,,,
688,1996-05-31,,,,,,,
688,1996-06-28,,,,,,,
688,1996-07-31,,,,,,,
688,1996-08-30,,,,,,,
688,1996-09-30,,,,,,,
688,1996-10-31,,,,,,,
688,1996-11-29,,,,,,,
688,1996-12-31,,,,,,,
688,1997-01-31,,,,,,,
688,1997-02-28,,,,,,,
688,1997-03-27,,,,,,,
688,1997-04-30,,,,,,,
688,1997-05-30,,,,,,,
688,1997-06-27,,,,,,,
688,1997-07-31,,,,,,,
688,1997-08-29,,,,,,,
688,1997-09-30,,,,,,,
688,1997-10-31,,,,,,,
688,1997-11-28,,,,,,,
688,1997-12-31,,,,,,,
688,1998-01-27,,,,,,,
688,1998-02-27,,,,,,,
688,1998-03-31,,,,,,,
688,1998-04-30,,,,,,,
688,1998-05-29,,,,,,,
688,1998-06-30,,,,,,,
688,1998-07-31,,,,,,,
688,1998-08-31,,,,,,,
688,1998-09-30,,,,,,,
688,1998-10-30,,,,,,,
688,1998-11-30,,,,,,,
688,1998-12-31,,,,,,,
688,1999-01-29,,,,,,,
688,1999-02-26,,,,,,,
688,1999-03-31,,,,,,,
688,1999-04-30,,,,,,,
688,1999-05-31,,,,,,,
688,1999-06-30,,,,,,,
688,1999-07-30,,,,,,,
688,1999-08-31,,,,,,,
688,1999-09-30,,,,,,,
688,1999-10-29,,,,,,,
688,1999-11-30,,,,,,,
688,1999-12-30,,,,,,,
688,2000-01-31,,,,,,,
688,2000-02-29,,,,,,,
688,2000-03-31,,,,,,,
688,2000-04-28,,,,,,,
688,2000-05-31,,,,,,,
688,2000-06-30,,,,,,,
688,2000-07-31,,,,,,,
688,2000-08-31,,,,,,,
688,2000-09-29,,,,,,,
688,2000-10-31,,,,,,,
688,2000-11-30,,,,,,,
688,2000-12-29,,,,,,,
688,2001-01-31,,,,,,,
688,2001-02-28,,,,,,,
688,2001-03-30,,,,,,,
688,2001-04-27,,,,,,,
688,2001-05-31,,,,,,,
688,2001-06-29,,,,,,,
688,2001-07-31,,,,,,,
688,2001-08-31,,,,,,,
688,2001-09-28,,,,,,,
688,2001-10-31,,,,,,,
688,2001-11-30,,,,,,,
688,2001-12-31,,,,,,,
688,2002-01-31,,,,,,,
688,2002-02-28,,,,,,,
688,2002-03-28,,,,,,,
688,2002-04-30,,,,,,,
