symbol,reportingDate,returnOnAssets,returnOnEquity,freeCashFlowToAssets,freeCashFlowToEquity,operatingProfitMargin,netProfitMargin,payoutRatio
1,1/6/2009,0.100057118,0.121820575,0.000773619,0.000941889,0.873397228,1,0.205036491
1,3/26/2009,0.045931264,0.057872458,0,0,0.479435386,0.792711122,0.435566812
1,3/30/2010,0.066062102,0.080701956,0.043123217,0.052679644,0.603301363,0.807557733,0.318788867
1,8/5/2010,0.066688848,0.081679292,0.054384488,0.066609135,0.49979363,0.703171218,0.305908824
1,3/29/2011,0.081087533,0.0995264,0.025668452,0.03150532,0.544472507,0.816602258,0.254620659
1,8/4/2011,0.133707044,0.160625387,0.011258922,0.013525605,0.500336369,1,0.14455939
1,3/29/2012,0.12341031,0.148052065,0,0,0.468707949,1,0.158918684
1,8/2/2012,0.07353716,0.087853944,0,0,0.570717923,0.829894328,0.25959424
1,3/26/2013,0.078765751,0.094363687,0,0,0.663023211,1,0.228461731
1,8/1/2013,0.073183443,0.087277015,0,0,0.634677793,1,0.247387687
1,2/28/2014,0.082222383,0.095367147,0.016155322,0.018738049,0.676022777,1,0.228587635
1,7/31/2014,0.097165983,0.111430436,0.008651873,0.009922012,0.676386189,1,0.565091566
1,2/26/2015,0.117633058,0.136673052,0.00501593,0.005827804,0.712954065,1,0.458074217
1,8/25/2015,0.124481259,0.305143861,0,0,1,1,0.072085547
1,3/17/2016,0.114788411,0.276652636,0.021351593,0.051459677,0.729837473,0.67333356,0.083005819
1,8/11/2016,0.029766156,0.073486161,0.020214224,0.049904521,0.165726936,0.117496081,1
2,1/6/2009,0.077841455,0.166006792,0.06010552,0.128182658,0.261946484,0.208864124,0.563065611
2,2/26/2009,0.078468129,0.165399813,0.06526338,0.137566054,0.245077997,0.191962724,0.572867696
2,2/25/2010,0.052360235,0.115826515,0.045230657,0.100055115,0.214079893,0.161758901,0.728038067
2,8/16/2010,0.067884368,0.151166183,0.036287757,0.080806257,0.221875399,0.198638264,0.548336703
2,2/24/2011,0.057606423,0.129699602,0.03316328,0.074666399,0.212241055,0.176887519,0.577526132
2,8/16/2011,0.047519767,0.123364463,0.018503437,0.048036148,0.189156289,0.142871135,0.584369797
2,2/27/2012,0.043343538,0.114301185,0.02778037,0.073259577,0.143920379,0.101359757,0.652777778
2,8/14/2012,0.031536264,0.085628136,0.075827113,0.205887873,0.117616772,0.070475327,0.89289889
2,2/25/2013,0.036335659,0.091213362,0.064955673,0.16305815,0.124936821,0.079266839,0.758060635
2,8/12/2013,0.040616866,0.100573023,0.032719789,0.081018759,0.126074395,0.079004809,0.737017081
2,2/27/2014,0.028627442,0.069367338,0.05932872,0.143759801,0.085200421,0.057973787,1
2,8/14/2014,0.04001385,0.099246895,0.062435633,0.154859949,0.119048096,0.090206753,0.725870868
2,2/26/2015,0.052272632,0.12749253,0.059507228,0.14513765,0.161447664,0.121624991,0.589876125
2,8/13/2015,0.047724864,0.11599646,0.051935744,0.126231108,0.158864015,0.120070001,0.652548176
2,2/29/2016,0.076827283,0.168281106,0.040678747,0.089102,0.272862454,0.19417596,0.43535418
2,8/1/2016,0.077722863,0.168485497,0.048378517,0.104873625,0.279784849,0.202453833,0.430686909
3,1/6/2009,0.16211732,0.283303614,0.06354614,0.11104829,0.505313658,0.435385769,0.328881384
3,1/6/2009,0.214350296,0.32211612,0.075245519,0.113075629,0.724614249,0.651618572,0.228801674
3,3/17/2009,0.082813643,0.140367876,0.040401124,0.068479296,0.401337414,0.348318518,0.542242882
3,3/16/2010,0.078648905,0.155768493,0.018696466,0.037029381,0.498704642,0.427071358,0.433224015
3,8/24/2010,0.076802201,0.153901173,0.018949534,0.037972291,0.393474112,0.320731966,0.445836167
3,3/15/2011,0.076857761,0.14907071,0.01422986,0.027599755,0.36575761,0.288241791,0.450114597
3,8/23/2011,0.074867133,0.147358854,0.016413522,0.032306271,0.380494682,0.297833257,0.449181971
3,3/19/2012,0.072272647,0.147883446,0.004442413,0.009090013,0.359779371,0.274207644,0.674482893
3,8/21/2012,0.077090113,0.166351919,0.000492274,0.001062273,0.374416117,0.287736003,0.602043423
3,3/18/2013,0.077949447,0.170614887,0.008591308,0.018804561,0.396653626,0.309443274,0.394406193
3,8/21/2013,0.070098123,0.151721642,0.013277411,0.028737869,0.370086665,0.282426934,0.436229513
3,3/19/2014,0.06441832,0.137439941,0.017914342,0.03822121,0.333174018,0.242647605,0.488181739
3,8/25/2014,0.062862954,0.137042455,0.020293813,0.044240905,0.316470809,0.225206104,0.49718407
3,3/18/2015,0.062137436,0.135083472,0.016869022,0.036672354,0.312342043,0.224870076,0.517596917
3,8/13/2015,0.064982151,0.140124268,0.014737301,0.03177878,0.336444393,0.245378733,0.502051532
3,3/18/2016,0.06318615,0.138187103,0.019452542,0.0425424,0.334760555,0.246761717,0.554176938
3,8/22/2016,0.063540569,0.138320274,0.02226945,0.048477949,0.342856445,0.259345811,0.562832858
4,1/6/2009,0.090185031,0.143117533,0.000570102,0.000904712,0.484211314,0.804923676,0.18202101
4,1/6/2009,0.089915236,0.152181464,0.003160682,0.005349451,0.587117473,0.810895854,0.159248269
4,3/25/2009,0.037062306,0.062787706,0,0,0.473212045,0.391907152,0.352649272
4,8/26/2009,0.027777778,0.045808985,0.017665263,0.0291322,0.459944418,0.291747221,0.456202112
4,3/23/2010,0.101102063,0.149798516,0.019820331,0.029366919,0.487324104,1,0.143020357
4,8/30/2010,0.114549966,0.187423164,0.005941788,0.009721773,0.504383967,1,0.118845208
4,3/23/2011,0.147259935,0.219205465,0,0,0.483591331,1,0.081958042
4,8/25/2011,0.138946547,0.209912411,0,0,0.479734673,1,0.077374872
4,3/22/2012,0.096133948,0.150390884,0,0,0.47442093,1,0.105044491
4,8/23/2012,0.119390841,0.177635356,0,0,0.450613676,1,0.087266987
4,3/26/2013,0.128084705,0.190192394,0,0,0.459229971,1,0.105748683
4,8/27/2013,0.104448728,0.155329729,0,0,0.436913338,1,0.126049392
4,3/27/2014,0.070786311,0.106620409,0.004556056,0.006862464,0.416470662,0.921378618,0.175323349
4,8/11/2014,0.057441549,0.084536857,0,0,0.429866154,0.715473261,0.222431945
4,3/14/2015,0.080803674,0.1176124,0.015953834,0.023221329,0.374528005,0.942154395,0.152685778
4,8/18/2015,0.069724496,0.100963437,0.021505112,0.031140132,0.368364085,0.785032849,0.175906628
4,3/9/2016,0.036096919,0.05207196,0.03901639,0.056283471,0.363376147,0.392024465,0.359398402
4,8/10/2016,0.035902589,0.051434472,0.036227716,0.051900251,0.359455687,0.367317981,0.370464188
5,1/6/2009,0.008126949,0.14928995,0.037514028,0.689122971,0.195283159,0.218410749,0.554539278
5,3/2/2009,0.002266302,0.061202466,0.01085475,0.293137161,0.046053449,0.064671281,1
5,3/1/2010,0.002467379,0.045471905,0.002071516,0.038176447,0,0.074194656,1
5,8/2/2010,0.003824757,0.068043224,0.02258757,0.401837535,0.040490798,0.117007147,0.639783784
5,2/28/2011,0.005360761,0.089112666,0.021676473,0.360331015,0.122316095,0.16445872,0.480507637
