symbol,financialYear,reportType,financialYearEnd,reportingDate,currency,operatingIncome,netIncome,freeCashFlow,investedCapital,totalAssets,totalEquity,returnOnCapital,returnOnAssets,returnOnEquity,freeCashFlowToCapital,freeCashFlowToAssets,freeCashFlowToEquity,operatingProfitMargin,netProfitMargin,payoutRatio
1,2007,Final,2007-12-31,2009-01-06,HKD,13487000000,27678000000,214000000,79388000000,276622000000,227203000000,0.162915526,0.100057118,0.121820575,0.002695622,0.000773619,0.000941889,0.873397228,1.792384406,0.205036491
1,2008,Final,2008-12-31,2009-03-26,HKD,7880000000,13029000000,-4514000000,84393000000,283663000000,225133000000,0.087679783,0.045931264,0.057872458,-0.053487849,-0.015913249,-0.02005037,0.479435386,0.792711122,0.435566812
1,2009,Final,2009-12-31,2010-03-30,HKD,14656000000,19618000000,12806000000,79582000000,296963000000,243092000000,0.170199753,0.066062102,0.080701956,0.160915785,0.043123217,0.052679644,0.603301363,0.807557733,0.318788867
1,2010,Interim,2010-06-30,2010-08-05,HKD,14531000000,20444000000,16672000000,79386000000,306558000000,250296000000,0.17508106,0.066688848,0.081679292,0.210011841,0.054384488,0.066609135,0.49979363,0.703171218,0.305908824
1,2010,Final,2010-12-31,2011-03-29,HKD,17893000000,26836000000,8495000000,74819000000,330951000000,269637000000,0.230314101,0.081087533,0.0995264,0.113540678,0.025668452,0.03150532,0.544472507,0.816602258,0.254620659
1,2011,Interim,2011-06-30,2011-08-04,HKD,19337000000,47752000000,4021000000,81740000000,357139000000,297288000000,0.228059677,0.133707044,0.160625387,0.049192562,0.011258922,0.013525605,0.500336369,1.235561995,0.14455939
1,2011,Final,2011-12-31,2012-03-29,HKD,19854000000,46055000000,-7249000000,96391000000,373186000000,311073000000,0.198123017,0.12341031,0.148052065,-0.075204117,-0.01942463,-0.023303212,0.468707949,1.087254184,0.158918684
1,2012,Interim,2012-06-30,2012-08-02,HKD,19389000000,28194000000,-5324000000,94483000000,383398000000,320919000000,0.196462832,0.07353716,0.087853944,-0.056348761,-0.013886353,-0.016589856,0.570717923,0.829894328,0.25959424
1,2012,Final,2012-12-31,2013-03-26,HKD,20624000000,32036000000,-3345000000,106288000000,406725000000,339495000000,0.186921427,0.078765751,0.094363687,-0.031471097,-0.00822423,-0.00985287,0.663023211,1.029897769,0.228461731
1,2013,Interim,2013-06-30,2013-08-01,HKD,17797000000,30050000000,-6295000000,110820000000,410612000000,344306000000,0.155473875,0.073183443,0.087277015,-0.056803826,-0.015330775,-0.018283155,0.634677793,1.071645091,0.247387687
1,2013,Final,2013-12-31,2014-02-28,HKD,21845000000,35260000000,6928000000,109734000000,428837000000,369729000000,0.190991328,0.082222383,0.095367147,0.063134489,0.016155322,0.018738049,0.676022777,1.091167915,0.228587635
1,2014,Interim,2014-06-30,2014-07-31,HKD,21921000000,43193000000,3846000000,109411000000,444528000000,387623000000,0.19238685,0.097165983,0.111430436,0.035151859,0.008651873,0.009922012,0.676386189,1.332747076,0.565091566
1,2014,Final,2014-12-31,2015-02-26,HKD,22257000000,53869000000,2297000000,108744000000,457941000000,394145000000,0.19984628,0.117633058,0.136673052,0.021123004,0.00501593,0.005827804,0.712954065,1.725574989,0.458074217
1,2015,Interim,2015-06-30,2015-08-25,HKD,118843000000,134382000000,-8883000000,524296000000,1079536000000,440389000000,0.223211741,0.124481259,0.305143861,-0.016942719,-0.008228535,-0.020170804,2.207008617,2.495580152,0.072085547
1,2015,Final,2015-12-31,2016-03-17,HKD,128520000000,118570000000,22055000000,475034000000,1032944000000,428588000000,0.262886446,0.114788411,0.276652636,0.046428256,0.021351593,0.051459677,0.729837473,0.67333356,0.083005819
1,2016,Interim,2016-06-30,2016-08-11,HKD,44618000000,31633000000,21482000000,452399000000,1062717000000,430462000000,0.090950687,0.029766156,0.073486161,0.047484632,0.020214224,0.049904521,0.165726936,0.117496081,11.8069105
2,2007,Final,2007-12-31,2009-01-06,HKD,13304000000,10608000000,8191000000,89778000000,136277000000,63901000000,0.13735327,0.077841455,0.166006792,0.09123616,0.06010552,0.128182658,0.261946484,0.208864124,0.563065611
2,2008,Final,2008-12-31,2009-02-26,HKD,13307000000,10423000000,8669000000,91535000000,132831000000,63017000000,0.128732418,0.078468129,0.165399813,0.094706943,0.06526338,0.137566054,0.245077997,0.191962724,0.572867696
2,2009,Final,2009-12-31,2010-02-25,HKD,10847000000,8196000000,7080000000,100992000000,156531000000,70761000000,0.089256732,0.052360235,0.115826515,0.070104563,0.045230657,0.100055115,0.214079893,0.161758901,0.728038067
2,2010,Interim,2010-06-30,2010-08-16,HKD,12155000000,10882000000,5817000000,110101000000,160302000000,71987000000,0.103096811,0.067884368,0.151166183,0.052833308,0.036287757,0.080806257,0.221875399,0.198638264,0.548336703
2,2010,Final,2010-12-31,2011-02-24,HKD,12397000000,10332000000,5948000000,120424000000,179355000000,79661000000,0.095172412,0.057606423,0.129699602,0.049392148,0.03316328,0.074666399,0.212241055,0.176887519,0.577526132
2,2011,Interim,2011-06-30,2011-08-16,HKD,13519000000,10211000000,3976000000,153330000000,214879000000,82771000000,0.073657148,0.047519767,0.123364463,0.025930998,0.018503437,0.048036148,0.189156289,0.142871135,0.584369797
2,2011,Final,2011-12-31,2012-02-27,HKD,13188000000,9288000000,5953000000,144794000000,214288000000,81259000000,0.077342768,0.043343538,0.114301185,0.041113582,0.02778037,0.073259577,0.143920379,0.101359757,0.652777778
