atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2016-10-19,2016-10-21,0,5.11,5.1,5.11,5.06,5.15,21087956,107414420,5.09363828,5.11,5.1,5.11,5.06,5.15,21087956,5.09364,-0.00777
2016-10-18,2016-10-20,0,5.15,5.14,5.15,5.08,5.15,23062746,117968706,5.11511968,5.15,5.14,5.15,5.08,5.15,23062746,5.11512,0.0098
2016-10-17,2016-10-19,0,5.1,5.09,5.1,5.05,5.13,22146353,112641037,5.08621158,5.1,5.09,5.1,5.05,5.13,22146353,5.08621,-0.00778
2016-10-14,2016-10-18,0,5.14,5.14,5.15,5.08,5.15,23120525,118196389,5.11218448,5.14,5.14,5.15,5.08,5.15,23120525,5.11218,0.00784
2016-10-13,2016-10-17,0,5.1,5.09,5.1,5.08,5.16,49164975,250930666,5.10385017,5.1,5.09,5.1,5.08,5.16,49164975,5.10385,-0.01163
2016-10-12,2016-10-14,0,5.16,5.15,5.16,5.09,5.16,32878178,168456458,5.12365551,5.16,5.15,5.16,5.09,5.16,32878178,5.12366,0.00194
2016-10-11,2016-10-13,0,5.15,5.14,5.15,5.11,5.25,63115616,324897000,5.1476484,5.15,5.14,5.15,5.11,5.25,63115616,5.14765,-0.00962
2016-10-07,2016-10-12,0,5.2,5.2,5.21,5.19,5.27,34867424,181912884,5.21727341,5.2,5.2,5.21,5.19,5.27,34867424,5.21727,-0.01141
2016-10-06,2016-10-11,0,5.26,5.26,5.27,5.22,5.34,72882989,385665126,5.29156572,5.26,5.26,5.27,5.22,5.34,72882989,5.29157,0.01544
2016-10-05,2016-10-07,0,5.18,5.18,5.19,5.12,5.21,38661542,200058165,5.17460387,5.18,5.18,5.19,5.12,5.21,38661542,5.1746,0
2016-10-04,2016-10-06,0,5.18,5.17,5.18,5.13,5.21,47635330,246399739,5.17262584,5.18,5.17,5.18,5.13,5.21,47635330,5.17263,0
2016-10-03,2016-10-05,0,5.18,5.18,5.19,5.17,5.24,36462074,189181425,5.18844389,5.18,5.18,5.19,5.17,5.24,36462074,5.18844,0.00778
2016-09-30,2016-10-04,0,5.14,5.13,5.14,5.11,5.2,44562867,229547841,5.15110127,5.14,5.13,5.14,5.11,5.2,44562867,5.1511,-0.00772
2016-09-29,2016-10-03,0,5.18,5.17,5.18,5.15,5.23,46020151,238388758,5.18009508,5.18,5.17,5.18,5.15,5.23,46020151,5.1801,0
2016-09-28,2016-09-30,0,5.18,5.17,5.18,5.15,5.23,34566775,178956332,5.17711971,5.18,5.17,5.18,5.15,5.23,34566775,5.17712,-0.00193
2016-09-27,2016-09-29,0,5.19,5.18,5.19,5.1,5.24,41221090,213550247,5.18060651,5.19,5.18,5.19,5.1,5.24,41221090,5.18061,0.00973
2016-09-26,2016-09-28,0,5.14,5.13,5.14,5.08,5.23,68980427,354039034,5.1324564,5.14,5.13,5.14,5.08,5.23,68980427,5.13246,-0.02095
2016-09-23,2016-09-27,0,5.25,5.25,5.26,5.22,5.31,43154395,227144311,5.26352672,5.25,5.25,5.26,5.22,5.31,43154395,5.26353,0.00382
