atDate,close,adjClose,monthReturnSign,yearReturnSign
1994-01-31,24.9,9.61929,0,0
1994-02-28,22.6,8.73076,-1,0
1994-03-31,21.7,8.38307,-1,0
1994-04-29,21.5,8.30581,-1,0
1994-05-31,22.4,8.76205,1,0
1994-06-30,20.9,8.17531,-1,0
1994-07-29,24,9.38791,1,0
1994-08-31,24.65,9.64217,1,0
1994-09-30,23.9,9.39982,-1,0
1994-10-31,23.25,9.14417,-1,0
1994-11-30,19.6,7.70864,-1,0
1994-12-30,18.65,7.335,-1,0
1995-01-30,17.05,6.70573,-1,-1
1995-02-28,19.25,7.57098,1,-1
1995-03-31,19.1,7.51199,-1,-1
1995-04-28,18.95,7.45299,-1,-1
1995-05-31,20.1,8.04432,1,-1
1995-06-30,19.45,7.78418,-1,-1
1995-07-31,20.6,8.24443,1,-1
1995-08-31,22.05,8.82474,1,-1
1995-09-29,23.35,9.40646,1,1
1995-10-31,24.15,9.72874,1,1
1995-11-30,24.35,9.80931,1,1
1995-12-29,26.45,10.65529,1,1
1996-01-31,29.95,12.06525,1,1
1996-02-29,30.1,12.12567,1,1
1996-03-29,30,12.08539,-1,1
1996-04-30,30.4,12.24653,1,1
1996-05-31,31.8,12.98234,1,1
1996-06-28,31.3,12.77821,-1,1
1996-07-31,31.9,13.02316,1,1
1996-08-30,34,13.88049,1,1
1996-09-30,35,14.48926,1,1
1996-10-31,37.6,15.5656,1,1
1996-11-29,40.3,16.68335,1,1
1996-12-31,44.9,18.58765,1,1
1997-01-31,38.2,15.81399,-1,1
1997-02-28,39.5,16.35216,1,1
1997-03-27,38.4,15.89679,-1,1
1997-04-30,41.9,17.34571,1,1
1997-05-30,44.3,18.5292,1,1
1997-06-27,48.4,20.24409,1,1
1997-07-31,49.1,20.53687,1,1
1997-08-29,41.3,17.2744,-1,1
1997-09-30,43.9,18.56279,1,1
1997-10-31,37,15.64517,-1,1
1997-11-28,30.8,13.02355,-1,-1
1997-12-31,30.8,13.02355,0,-1
1998-01-27,22.2,9.3871,-1,-1
1998-02-27,30,12.68527,1,-1
1998-03-31,27.4,11.58588,-1,-1
1998-04-30,23.8,10.06365,-1,-1
1998-05-29,18.85,8.17495,-1,-1
1998-06-30,13.7,5.94148,-1,-1
1998-07-31,12.5,5.42106,-1,-1
1998-08-31,9.9,4.29348,-1,-1
1998-09-30,13.6,6.00024,1,-1
1998-10-30,19.05,8.40475,1,-1
1998-11-30,17.55,7.74296,-1,-1
1998-12-31,16.7,7.36794,-1,-1
1999-01-29,13.85,6.11054,-1,-1
1999-02-26,13.55,5.97818,-1,-1
1999-03-31,16.3,7.19147,1,-1
1999-04-30,21,9.26508,1,-1
1999-05-31,19.9,9.00317,-1,1
1999-06-30,24.75,11.19741,1,1
1999-07-30,21.7,9.81753,-1,1
1999-08-31,24.15,10.92596,1,1
1999-09-30,21.5,9.81018,-1,1
1999-10-29,20.1,10.03457,1,1
1999-11-30,21,10.48388,1,1
1999-12-30,29.25,14.60254,1,1
2000-01-31,33.1,16.52458,1,1
2000-02-29,39.2,19.5699,1,1
2000-03-31,47.2,23.56376,1,1
2000-04-28,35.7,17.82259,-1,1
2000-05-31,37.1,18.81298,1,1
2000-06-30,40.8,20.68921,1,1
2000-07-31,41.7,21.14559,1,1
2000-08-31,37.2,18.86369,-1,1
2000-09-29,33.6,17.13257,-1,1
2000-10-31,31.3,15.9598,-1,1
2000-11-30,26.9,13.71625,-1,1
2000-12-29,27.65,14.09867,1,-1
2001-01-31,30.4,15.50089,1,-1
2001-02-28,28,14.27714,-1,-1
2001-03-30,22.55,11.4982,-1,-1
2001-04-27,22.45,11.44721,-1,-1
2001-05-31,24.3,12.73692,1,-1
2001-06-29,24.15,12.6583,-1,-1
2001-07-31,21.25,11.13825,-1,-1
2001-08-31,17.3,9.06785,-1,-1
2001-09-28,14.7,7.80289,-1,-1
2001-10-31,16,8.49294,1,-1
2001-11-30,17.15,9.10337,1,-1
2001-12-31,17.35,9.20954,1,-1
2002-01-31,15.35,8.14792,-1,-1
2002-02-28,15.15,8.04175,-1,-1
2002-03-28,16.2,8.5991,1,-1
2002-04-30,15.8,8.70426,1,-1
2002-05-31,17.65,9.72343,1,-1
2002-06-28,16.9,9.31025,-1,-1
2002-07-31,17.05,9.39289,1,-1
2002-08-30,17.85,9.83361,1,1
2002-09-30,16.65,9.33205,-1,1
2002-10-31,16.5,9.24798,-1,1
2002-11-29,15.65,8.77157,-1,-1
2002-12-31,14.4,8.07096,-1,-1
2003-01-30,15,8.40725,1,1
2003-02-28,15.15,8.49133,1,1
2003-03-31,15.8,8.85564,1,1
2003-04-30,13.3,8.4218,-1,-1
2003-05-30,14.3,9.05502,1,-1
2003-06-30,14.25,9.02336,-1,-1
2003-07-31,14.9,9.43495,1,1
2003-08-29,16,10.13149,1,1
2003-09-30,15.85,10.22237,1,1
2003-10-31,18.1,11.67349,1,1
2003-11-28,18,11.609,-1,1
2003-12-31,19.8,12.7699,1,1
2004-01-30,22.05,14.22102,1,1
2004-02-27,24.05,15.51091,1,1
2004-03-31,22,14.18878,-1,1
2004-04-30,19.1,12.75615,-1,1
2004-05-31,19,12.68936,-1,1
2004-06-30,19.1,12.75615,1,1
2004-07-30,18.85,12.58918,-1,1
2004-08-31,19.9,13.29044,1,1
2004-09-30,20.05,13.58851,1,1
2004-10-29,19.9,13.48685,-1,1
2004-11-30,22.05,14.94397,1,1
2004-12-31,22.1,14.97786,1,1
2005-01-31,21.85,14.80842,-1,1
2005-02-28,22.65,15.35061,1,-1
2005-03-31,22.85,15.48615,1,1
2005-04-29,23.45,15.89279,1,1
2005-05-31,21.7,15.22621,-1,1
2005-06-30,22.75,15.96296,1,1
2005-07-29,22.85,16.03313,1,1
2005-08-31,21.65,15.19112,-1,1
2005-09-30,21.7,15.43719,1,1
2005-10-31,20.05,14.2634,-1,1
2005-11-30,21.25,15.11707,1,1
2005-12-30,21.45,15.25935,1,1
2006-01-27,23,16.362,1,1
2006-02-28,23.2,16.50428,1,1
2006-03-31,23.3,16.57542,1,1
2006-04-28,27.9,19.84782,1,1
2006-05-30,23.15,16.95487,-1,1
2006-06-30,22.9,16.77177,-1,1
2006-07-31,22.7,16.6253,-1,1
2006-08-31,24.85,18.19994,1,1
2006-09-29,24,18.00525,-1,1
2006-10-31,23.9,17.93023,-1,1
2006-11-30,25.8,19.35565,1,1
2006-12-29,26.85,20.14338,1,1
2007-01-31,27.35,20.51849,1,1
2007-02-28,26.25,19.69325,-1,1
2007-03-30,28.9,21.68132,1,1
2007-04-30,29.55,22.16897,1,1
2007-05-31,32.5,25.28062,1,1
2007-06-29,39.25,30.53121,1,1
2007-07-31,40.8,31.7369,1,1
2007-08-31,42.65,33.17595,1,1
2007-09-28,49.6,39.13197,1,1
2007-10-31,48.5,38.26413,-1,1
2007-11-30,43.9,34.63495,-1,1
2007-12-31,43.55,34.35882,-1,1
2008-01-31,38.65,30.49296,-1,1
2008-02-29,42.95,33.88545,1,1
2008-03-31,33,26.03539,-1,1
2008-04-30,36.5,29.40941,1,1
2008-05-30,33.5,26.9922,-1,1
2008-06-30,28.75,23.16495,-1,-1
2008-07-31,30,24.17212,1,-1
2008-08-29,27.35,22.03691,-1,-1
2008-09-30,22.3,18.19254,-1,-1
2008-10-31,6.06,4.9438,-1,-1
2008-11-28,5.22,4.25852,-1,-1
2008-12-31,8.38,6.83648,1,-1
2009-01-30,9.23,7.52992,1,-1
2009-02-27,8.11,6.61621,-1,-1
2009-03-31,8.76,7.14649,1,-1
2009-04-30,11.42,9.31654,1,-1
2009-05-29,17.8,14.5214,1,-1
2009-06-30,16.02,13.06926,-1,-1
2009-07-31,22.1,18.02938,1,-1
2009-08-31,20.7,16.88725,-1,-1
2009-09-30,20.35,16.71595,-1,-1
2009-10-30,20.25,16.6338,-1,1
2009-11-30,20.5,16.83916,1,1
2009-12-31,20.9,17.16773,1,1
2010-01-29,16.56,13.60275,-1,1
2010-02-26,17.32,14.22704,1,1
2010-03-31,18.56,15.2456,1,1
2010-04-30,17.22,14.14489,-1,1
2010-05-31,14.22,11.86988,-1,-1
2010-06-30,14.58,12.17038,1,-1
2010-07-30,15.98,13.339,1,-1
2010-08-31,15.9,13.27223,-1,-1
2010-09-30,17.7,14.90705,1,-1
2010-10-29,20.65,17.39156,1,1
2010-11-30,19.46,16.38934,-1,-1
2010-12-31,20.2,17.01257,1,-1
2011-01-31,20.95,17.64423,1,1
2011-02-28,20.3,17.09679,-1,1
2011-03-31,21.6,18.19166,1,1
2011-04-29,23.2,19.53919,1,1
2011-05-31,22.15,18.89926,-1,1
2011-06-30,19.42,16.56991,-1,1
2011-07-29,16.9,14.41975,-1,1
2011-08-31,15.74,13.42999,-1,1
2011-09-30,11.14,9.60059,-1,-1
2011-10-31,14.32,12.34115,1,-1
2011-11-30,14.02,12.08261,-1,-1
2011-12-30,14,12.06537,-1,-1
2012-01-31,14.86,12.80653,1,-1
2012-02-29,14.6,12.58246,-1,-1
2012-03-30,13.08,11.2725,-1,-1
2012-04-30,12.78,11.01396,-1,-1
2012-05-31,11.96,10.57757,-1,-1
2012-06-29,11.7,10.34762,-1,-1
2012-07-31,11.24,9.94079,-1,-1
2012-08-31,9.49,8.39307,-1,-1
2012-09-28,9.31,8.36975,-1,-1
2012-10-31,9.88,8.88218,1,-1
2012-11-30,9.79,8.80127,-1,-1
2012-12-31,11.56,10.39251,1,-1
2013-01-31,12.48,11.2196,1,-1
2013-02-28,11.92,10.71616,-1,-1
2013-03-28,10.08,9.06198,-1,-1
2013-04-30,9.39,8.44167,-1,-1
2013-05-31,9.19,8.51223,1,-1
2013-06-28,8.32,7.70639,-1,-1
2013-07-31,8.42,7.79902,1,-1
2013-08-30,8.97,8.30845,1,-1
2013-09-30,10.06,9.41783,1,1
2013-10-31,11.04,10.33527,1,1
2013-11-29,11.18,10.46634,1,1
2013-12-31,11.86,11.10293,1,1
2014-01-30,9.7,9.08081,-1,-1
2014-02-28,11.18,10.46634,1,-1
2014-03-31,13.76,12.88164,1,1
2014-04-30,13.6,12.73186,-1,1
2014-05-30,13.54,12.90615,1,1
2014-06-30,13.58,12.94428,1,1
2014-07-31,15.48,14.75534,1,1
2014-08-29,15.08,14.37406,-1,1
2014-09-30,12.96,12.36669,-1,1
2014-10-31,13.58,12.95831,1,1
2014-11-28,13.52,12.90105,-1,1
2014-12-31,13.22,12.61479,-1,1
2015-01-30,13.32,12.71021,1,1
