atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
2016-10-19,2016-10-21,0,20.15,20.15,20.2,20.15,20.5,64690690,1309127952,20.23672884,20.15,20.15,20.2,20.15,20.5,64690690,20.23673,-0.02657
2016-10-18,2016-10-20,0,20.7,20.65,20.7,20.45,20.85,32030044,662122614,20.67192334,20.7,20.65,20.7,20.45,20.85,32030044,20.67192,0.01471
2016-10-17,2016-10-19,0,20.4,20.4,20.45,20.25,20.65,22640668,462147440,20.41227052,20.4,20.4,20.45,20.25,20.65,22640668,20.41227,-0.01449
2016-10-14,2016-10-18,0,20.7,20.7,20.75,20.45,20.75,36378256,750430321,20.62854033,20.7,20.7,20.75,20.45,20.75,36378256,20.62854,0.01471
2016-10-13,2016-10-17,0,20.4,20.35,20.4,20.3,20.75,46379167,946361413,20.40488164,20.4,20.35,20.4,20.3,20.75,46379167,20.40488,-0.01687
2016-10-12,2016-10-14,0,20.75,20.7,20.75,20.4,20.8,53554946,1102583333,20.58788992,20.75,20.7,20.75,20.4,20.8,53554946,20.58789,-0.0119
2016-10-11,2016-10-13,0,21,20.95,21,20.8,21.8,58752970,1239782925,21.10162133,21,20.95,21,20.8,21.8,58752970,21.10162,-0.02326
2016-10-07,2016-10-12,0,21.5,21.45,21.5,21.05,21.5,42065289,895870666,21.29714754,21.5,21.45,21.5,21.05,21.5,42065289,21.29715,0.00233
2016-10-06,2016-10-11,0,21.45,21.4,21.45,20.75,21.6,76290128,1620657390,21.24334344,21.45,21.4,21.45,20.75,21.6,76290128,21.24334,0.03874
2016-10-05,2016-10-07,0,20.65,20.6,20.65,20.15,20.8,24206831,498473317,20.59225832,20.65,20.6,20.65,20.15,20.8,24206831,20.59226,0.00732
2016-10-04,2016-10-06,0,20.5,20.45,20.5,20.1,20.5,19830884,403631180,20.35366552,20.5,20.45,20.5,20.1,20.5,19830884,20.35367,0.01235
2016-10-03,2016-10-05,0,20.25,20.2,20.25,20.2,20.5,27264019,554449531,20.33630959,20.25,20.2,20.25,20.2,20.5,27264019,20.33631,0.0125
2016-09-30,2016-10-04,0,20,20,20.05,20,20.4,80551510,1622732444,20.14527653,20,20,20.05,20,20.4,80551510,20.14528,-0.03382
2016-09-29,2016-10-03,0,20.7,20.7,20.75,20.5,21,32066841,663555406,20.69288353,20.7,20.7,20.75,20.5,21,32066841,20.69288,-0.00481
2016-09-28,2016-09-30,0,20.8,20.75,20.8,20.45,20.85,23066886,476261070,20.64695989,20.8,20.75,20.8,20.45,20.85,23066886,20.64696,0
