symbol,name,sector,country
1,CKH Holdings,Conglomerates,HK Ordinary
2,CLP Holdings,Utilities,HK Ordinary
3,HK & China Gas,Utilities,HK Ordinary
4,Wharf Holdings,Properties & Construction,HK Ordinary
5,HSBC Holdings,Financials,HK Ordinary
6,Power Assets,Utilities,HK Ordinary
11,Hang Seng Bank,Financials,HK Ordinary
12,Henderson Land,Properties & Construction,HK Ordinary
16,SHK Ppt,Properties & Construction,HK Ordinary
17,New World Dev,Properties & Construction,HK Ordinary
19,Swire Pacific A,Conglomerates,HK Ordinary
23,Bank of E Asia,Financials,HK Ordinary
27,Galaxy Ent,Consumer Services,HK Ordinary
66,MTR Corporation,Consumer Services,HK Ordinary
83,Sino Land,Properties & Construction,HK Ordinary
101,Hang Lung Ppt,Properties & Construction,HK Ordinary
135,Kunlun Energy,Energy,Red Chip
144,China Mer Port,Industrials,Red Chip
151,Want Want China,Consumer Goods,Other HK-listed Mainland Company
267,CITIC,Conglomerates,Red Chip
293,Cathay Pac Air,Consumer Services,HK Ordinary
386,Sinopec Corp,Energy,H Share
388,HKEx,Financials,HK Ordinary
494,Li & Fung,Consumer Goods,HK Ordinary
688,China Overseas,Properties & Construction,Red Chip
700,Tencent,Information Technology,Other HK-listed Mainland Company
762,China Unicom,Telecommunications,Red Chip
823,Link REIT,Properties & Construction,HK Ordinary
836,China Res Power,Utilities,Red Chip
857,PetroChina,Energy,H Share
883,CNOOC,Energy,Red Chip
902,Huaneng,Utilities,H Share
939,CCB,Financials,H Share
941,China Mobile,Telecommunications,Red Chip
992,Lenovo Group,Information Technology,Red Chip
1038,CKI Holdings,Utilities,HK Ordinary
1044,Hengan Int'l,Consumer Goods,Other HK-listed Mainland Company
1088,China Shenhua,Energy,H Share
1109,China Res Land,Properties & Construction,Red Chip
1113,CK Property,Properties & Construction,HK Ordinary
1299,AIA,Financials,HK Ordinary
1398,ICBC,Financials,H Share
1880,Belle Int'l,Consumer Goods,Other HK-listed Mainland Company
1928,Sands China Ltd,Consumer Services,HK Ordinary
2018,AAC Tech,Information Technology,Other HK-listed Mainland Company
2318,Ping An,Financials,H Share
2319,Mengniu Dairy,Consumer Goods,Red Chip
2388,BOC Hong Kong,Financials,HK Ordinary
2628,China Life,Financials,H Share
3328,Bankcomm,Financials,H Share
3988,Bank of China,Financials,H Share
