symbol,priceDate,monthEndDate,sharesOutstanding,marketCap
1,1994-12-30,1994-12-31,2197556240,69223.02
1,1995-12-29,1995-12-31,2197556240,103504.9
1,1996-02-16,1996-02-16,2297556240,130960.71
1,1996-12-31,1996-12-31,2297556240,157956.99
1,1997-12-31,1997-12-31,2297556240,116600.98
1,1998-12-31,1998-12-31,2297556240,128088.76
1,1999-12-30,1999-12-31,2297556240,226883.68
1,2000-06-19,2000-06-19,2316164338,202664.38
1,2000-12-29,2000-12-31,2316164338,231037.39
1,2001-12-31,2001-12-31,2316164338,187609.31
1,2002-12-31,2002-12-31,2316164338,117545.34
1,2003-12-31,2003-12-31,2316164338,143023.15
1,2004-12-31,2004-12-31,2316164338,179502.74
1,2005-12-30,2005-12-31,2316164338,184250.88
1,2006-12-29,2006-12-31,2316164338,221772.74
1,2007-01-31,2007-01-31,2316164338,238101.7
1,2007-02-28,2007-02-28,2316164338,221772.74
1,2007-03-30,2007-03-31,2316164338,229068.66
1,2007-04-30,2007-04-30,2316164338,236248.76
1,2007-05-31,2007-05-31,2316164338,234164.21
1,2007-06-29,2007-06-30,2316164338,237175.23
1,2007-07-31,2007-07-31,2316164338,257094.24
1,2007-08-31,2007-08-31,2316164338,265664.04
1,2007-09-28,2007-09-30,2316164338,296932.26
1,2007-10-31,2007-10-31,2316164338,349045.96
1,2007-11-30,2007-11-30,2316164338,338854.85
1,2007-12-31,2007-12-31,2316164338,333990.89
1,2008-01-31,2008-01-31,2316164338,291141.85
1,2008-02-29,2008-02-29,2316164338,275623.56
1,2008-03-31,2008-03-31,2316164338,255936.16
1,2008-04-30,2008-04-30,2316164338,281182.35
1,2008-05-30,2008-05-31,2316164338,277708.11
1,2008-06-30,2008-06-30,2316164338,243428.87
1,2008-07-31,2008-07-31,2316164338,255241.3
1,2008-08-29,2008-08-31,2316164338,259873.63
1,2008-09-30,2008-09-30,2316164338,199769.17
1,2008-10-31,2008-10-31,2316164338,168037.73
1,2008-11-28,2008-11-30,2316164338,169080
1,2008-12-31,2008-12-31,2316164338,169774.85
1,2009-01-30,2009-01-31,2316164338,168848.38
1,2009-02-27,2009-02-28,2316164338,147887.09
1,2009-03-31,2009-03-31,2316164338,154603.97
1,2009-04-30,2009-04-30,2316164338,186914.46
1,2009-05-29,2009-05-31,2316164338,221888.55
1,2009-06-30,2009-06-30,2316164338,206370.24
1,2009-07-31,2009-07-31,2316164338,231848.05
1,2009-08-31,2009-08-31,2316164338,212971.3
1,2009-09-30,2009-09-30,2316164338,227794.76
1,2009-10-30,2009-10-31,2316164338,232311.29
1,2009-11-30,2009-11-30,2316164338,225594.41
1,2009-12-31,2009-12-31,2316164338,232311.29
1,2010-01-29,2010-01-31,2316164338,213202.93
1,2010-02-26,2010-02-28,2316164338,219340.76
1,2010-03-31,2010-03-31,2316164338,231616.43
1,2010-04-30,2010-04-30,2316164338,224783.76
1,2010-05-31,2010-05-31,2316164338,205443.77
1,2010-06-30,2010-06-30,2316164338,209381.26
1,2010-07-30,2010-07-31,2316164338,217372.02
1,2010-08-31,2010-08-31,2316164338,226752.49
1,2010-09-30,2010-09-30,2316164338,272380.92
1,2010-10-29,2010-10-31,2316164338,273307.39
1,2010-11-30,2010-11-30,2316164338,265895.67
1,2010-12-31,2010-12-31,2316164338,277708.11
1,2011-01-31,2011-01-31,2316164338,297858.75
1,2011-02-28,2011-02-28,2316164338,280719.11
1,2011-03-31,2011-03-31,2316164338,293689.65
1,2011-04-29,2011-04-30,2316164338,283035.28
1,2011-05-31,2011-05-31,2316164338,281877.19
1,2011-06-30,2011-06-30,2316164338,263579.51
1,2011-07-29,2011-07-31,2316164338,275855.17
1,2011-08-31,2011-08-31,2316164338,253156.77
1,2011-09-30,2011-09-30,2316164338,198263.66
1,2011-10-31,2011-10-31,2316164338,226520.88
1,2011-11-30,2011-11-30,2316164338,198147.87
1,2011-12-30,2011-12-31,2316164338,214013.59
1,2012-01-31,2012-01-31,2316164338,241807.56
1,2012-02-29,2012-02-29,2316164338,262653.04
1,2012-03-30,2012-03-31,2316164338,232311.29
1,2012-04-30,2012-04-30,2316164338,239028.15
1,2012-05-31,2012-05-31,2316164338,207296.71
1,2012-06-29,2012-06-30,2316164338,219109.14
1,2012-07-31,2012-07-31,2316164338,236480.38
1,2012-08-31,2012-08-31,2316164338,244355.34
1,2012-09-28,2012-09-30,2316164338,263347.88
1,2012-10-31,2012-10-31,2316164338,265200.82
1,2012-11-30,2012-11-30,2316164338,274002.25
1,2012-12-31,2012-12-31,2316164338,275623.56
1,2013-01-31,2013-01-31,2316164338,294616.1
1,2013-02-28,2013-02-28,2316164338,279329.42
1,2013-03-28,2013-03-31,2316164338,265432.43
1,2013-04-30,2013-04-30,2316164338,270528
1,2013-05-31,2013-05-31,2316164338,254314.85
1,2013-06-28,2013-06-30,2316164338,243660.48
1,2013-07-31,2013-07-31,2316164338,252461.91
1,2013-08-30,2013-08-31,2316164338,256399.39
1,2013-09-30,2013-09-30,2316164338,273539
1,2013-10-31,2013-10-31,2316164338,280719.11
1,2013-11-29,2013-11-30,2316164338,283961.74
1,2013-12-31,2013-12-31,2316164338,283498.52
1,2014-01-30,2014-01-31,2316164338,266127.29
1,2014-02-28,2014-02-28,2316164338,281645.58
1,2014-03-31,2014-03-31,2316164338,297858.75
1,2014-04-30,2014-04-30,2316164338,305733.69
1,2014-05-30,2014-05-31,2316164338,320788.76
1,2014-06-30,2014-06-30,2316164338,318472.6
1,2014-07-31,2014-07-31,2316164338,349045.96
1,2014-08-29,2014-08-31,2316164338,327274.03
1,2014-09-30,2014-09-30,2316164338,296237.42
1,2014-10-31,2014-10-31,2316164338,318704.23
1,2014-11-28,2014-11-30,2316164338,329590.19
1,2014-12-31,2014-12-31,2316164338,301796.22
1,2015-01-30,2015-01-31,2316164338,343950.4
1,2015-02-27,2015-02-28,2316164338,355531.23
1,2015-03-18,2015-03-18,2316164338,350898.9
1,2015-03-31,2015-03-31,2316164338,367806.9
1,2015-04-30,2015-04-30,2316164338,390273.69
1,2015-06-03,2015-06-03,3859678500,455442.06
1,2015-06-30,2015-06-30,3859678500,439617.39
1,2015-07-31,2015-07-31,3859678500,444248.99
1,2015-08-31,2015-08-31,3859678500,398704.8
1,2015-09-30,2015-09-30,3859678500,386739.77
1,2015-10-30,2015-10-31,3859678500,411055.76
1,2015-11-30,2015-11-30,3859678500,392529.29
1,2015-12-31,2015-12-31,3859678500,403722.37
1,2016-01-29,2016-01-31,3859678500,371880.02
1,2016-02-29,2016-02-29,3859678500,362616.78
1,2016-03-31,2016-03-31,3859678500,388669.61
1,2016-04-29,2016-04-30,3859678500,358950.1
1,2016-05-31,2016-05-31,3859678500,348142.99
1,2016-06-30,2016-06-30,3859678500,326335.83
1,2016-07-29,2016-07-31,3859678500,350458.82
1,2016-08-31,2016-08-31,3859678500,384809.93
1,2016-09-30,2016-09-30,3859678500,380564.29
2,2003-12-31,2003-12-31,2408245900,89105.1
2,2004-12-31,2004-12-31,2408245900,107648.59
2,2006-12-29,2006-12-31,2408245900,138474.14
2,2007-01-31,2007-01-31,2408245900,140400.73
2,2007-02-28,2007-02-28,2408245900,137872.08
2,2007-03-30,2007-03-31,2408245900,137390.43
2,2007-04-30,2007-04-30,2408245900,138353.73
2,2007-05-31,2007-05-31,2408245900,132573.93
2,2007-06-29,2007-06-30,2408245900,126312.5
2,2007-07-31,2007-07-31,2408245900,127516.62
2,2007-08-31,2007-08-31,2408245900,129443.22
2,2007-09-28,2007-09-30,2408245900,129563.63
2,2007-10-31,2007-10-31,2408245900,125469.61
2,2007-11-30,2007-11-30,2408245900,127034.97
2,2007-12-31,2007-12-31,2408245900,128239.09
2,2008-01-31,2008-01-31,2408245900,148588.77
2,2008-02-29,2008-02-29,2408245900,148107.12
2,2008-03-31,2008-03-31,2408245900,154248.16
2,2008-04-30,2008-04-30,2408245900,148829.59
2,2008-05-30,2008-05-31,2408245900,169781.34
2,2008-06-30,2008-06-30,2408245900,160870.83
2,2008-07-31,2008-07-31,2408245900,154368.56
2,2008-08-29,2008-08-31,2408245900,152923.61
2,2008-09-30,2008-09-30,2408245900,150154.13
2,2008-10-31,2008-10-31,2406143400,125119.46
2,2008-11-28,2008-11-30,2406143400,132337.89
2,2008-12-31,2008-12-31,2406143400,126563.14
2,2009-01-30,2009-01-31,2406143400,126924.06
2,2009-02-27,2009-02-28,2406143400,138473.55
2,2009-03-31,2009-03-31,2406143400,128127.14
2,2009-04-30,2009-04-30,2406143400,126081.92
2,2009-05-29,2009-05-31,2406143400,125480.38
2,2009-06-30,2009-06-30,2406143400,123675.77
2,2009-07-31,2009-07-31,2406143400,126803.76
2,2009-08-31,2009-08-31,2406143400,124878.85
2,2009-09-30,2009-09-30,2406143400,126563.14
2,2009-10-30,2009-10-31,2406143400,125360.07
2,2009-11-30,2009-11-30,2406143400,126442.83
2,2009-12-31,2009-12-31,2406143400,126202.22
2,2010-01-29,2010-01-31,2406143400,126322.53
2,2010-02-26,2010-02-28,2406143400,129089.6
2,2010-03-31,2010-03-31,2406143400,133540.96
2,2010-04-30,2010-04-30,2406143400,131134.82
2,2010-05-31,2010-05-31,2406143400,131976.96
2,2010-06-30,2010-06-30,2406143400,135826.8
2,2010-07-30,2010-07-31,2406143400,137992.32
2,2010-08-31,2010-08-31,2406143400,143285.84
2,2010-09-30,2010-09-30,2406143400,149060.59
2,2010-10-29,2010-10-31,2406143400,151587.03
2,2010-11-30,2010-11-30,2406143400,153752.57
2,2010-12-31,2010-12-31,2406143400,151827.64
2,2011-01-31,2011-01-31,2406143400,152188.57
2,2011-02-28,2011-02-28,2406143400,152669.8
2,2011-03-31,2011-03-31,2406143400,151346.42
2,2011-04-29,2011-04-30,2406143400,153752.57
2,2011-05-31,2011-05-31,2406143400,159767.93
2,2011-06-30,2011-06-30,2406143400,165903.58
2,2011-07-29,2011-07-31,2406143400,173242.32
2,2011-08-31,2011-08-31,2406143400,173603.25
2,2011-09-30,2011-09-30,2406143400,169753.42
2,2011-10-31,2011-10-31,2406143400,167347.28
2,2011-11-30,2011-11-30,2406143400,164219.29
2,2011-12-30,2011-12-31,2406143400,158925.78
2,2012-01-31,2012-01-31,2406143400,152790.11
2,2012-02-29,2012-02-29,2406143400,164820.82
2,2012-03-30,2012-03-31,2406143400,161211.61
2,2012-04-30,2012-04-30,2406143400,159888.22
